Model,RMSE,MAE,R2
Linear Regression (Severity),39943.46535386826,25197.585344885367,0.007938803477465561
XGBoost (Severity),40820.898344250425,24977.605725076624,-0.03612487179626078
XGBoost (Premium),167.5136229731002,89.81670951408645,-0.017131766069487186
